ID_GEST_DEFA_STOC|ID_GEST_TIP_STOC|ID_GEST_TIP_DOCUM|PREDATOR|ID_GEST_TIP_MATERIAL|SEMN|SEMN_ITEMS|TIPURI_PRODUSE
363|22|NULL|1|-1|-1|-1|M, P, F, O
364|22|NULL|1|-1|1|1|M, P, F, O
365|24|NULL|1|-1|1|-1|M, P, F, O
366|24|NULL|1|-1|-1|1|M, P, F, O
367|24|NULL|1|-1|1|-1|M, P, F, O
368|24|NULL|1|-1|-1|1|M, P, F, O
369|24|NULL|2|-1|-1|-1|M, P, F, O
370|24|NULL|2|-1|1|1|M, P, F, O
371|25|NULL|1|-1|-1|-1|M, P, F, O
372|25|NULL|1|-1|-1|-1|M, P, F, O
373|25|NULL|2|-1|1|1|M, P, F, O
374|26|NULL|1|-1|1|1|M, P, F, O
375|26|NULL|1|-1|1|1|M, P, F, O
376|26|NULL|2|-1|1|-1|M, P, F, O
377|27|NULL|1|-1|1|1|M, P, F, O
378|27|NULL|1|-1|1|1|M, P, F, O
379|27|NULL|2|-1|1|-1|M, P, F, O
